group,dimension,category,record_count
TRAIN · EN_TO_KO,subdomain,"숙박,음식점",63006
TRAIN · EN_TO_KO,domain,해외고객과의채팅,270138
TRAIN · EN_TO_KO,source,크라우드 소싱,1200307
TRAIN · EN_TO_KO,target_language,ko,1200307
TRAIN · EN_TO_KO,data_set,일상생활및구어체,1200307
TRAIN · EN_TO_KO,license,open,1200307
TRAIN · EN_TO_KO,source_language,en,1200307
TRAIN · EN_TO_KO,style,구어체,1200307
TRAIN · EN_TO_KO,subdomain,"금융,보험",58587
TRAIN · EN_TO_KO,subdomain,정보통신,94602
TRAIN · EN_TO_KO,subdomain,"연구개발,과학기술",72048
TRAIN · EN_TO_KO,subdomain,"기계장비,의료정밀",40530
TRAIN · EN_TO_KO,subdomain,부동산,76587
TRAIN · EN_TO_KO,subdomain,도소매유통,344995
TRAIN · EN_TO_KO,subdomain,음식,134931
TRAIN · EN_TO_KO,domain,일상생활,449952
TRAIN · EN_TO_KO,subdomain,구매,90135
TRAIN · EN_TO_KO,subdomain,예약,89923
TRAIN · EN_TO_KO,subdomain,여행,134963
TRAIN · EN_TO_KO,domain,해외영업,480217
TRAIN · KO_TO_EN,subdomain,도소매유통,471897
TRAIN · KO_TO_EN,domain,해외영업,560002
TRAIN · KO_TO_EN,source,크라우드소싱,800096
TRAIN · KO_TO_EN,target_language,en,1200000
TRAIN · KO_TO_EN,data_set,일상생활및구어체,1200000
TRAIN · KO_TO_EN,license,open,1200000
TRAIN · KO_TO_EN,source_language,ko,1200000
TRAIN · KO_TO_EN,style,구어체,1200000
TRAIN · KO_TO_EN,subdomain,여행,119875
TRAIN · KO_TO_EN,domain,일상생활,399904
TRAIN · KO_TO_EN,source,SBS,399904
TRAIN · KO_TO_EN,subdomain,예약,40079
TRAIN · KO_TO_EN,subdomain,"연구개발,과학기술",96248
TRAIN · KO_TO_EN,domain,해외고객과의채팅,240094
TRAIN · KO_TO_EN,subdomain,음식,159892
TRAIN · KO_TO_EN,subdomain,"기계장비,의료정밀",44013
TRAIN · KO_TO_EN,subdomain,구매,80058
TRAIN · KO_TO_EN,subdomain,"숙박,음식점",63863
TRAIN · KO_TO_EN,subdomain,부동산,27999
TRAIN · KO_TO_EN,subdomain,정보통신,84116
TRAIN · KO_TO_EN,subdomain,"금융,보험",11960
VALID · EN_TO_KO,subdomain,도소매유통,150038
VALID · EN_TO_KO,domain,해외영업,150038
VALID · EN_TO_KO,source,크라우드 소싱,150038
VALID · EN_TO_KO,target_language,ko,150038
VALID · EN_TO_KO,data_set,일상생활및구어체,150038
VALID · EN_TO_KO,license,open,150038
VALID · EN_TO_KO,source_language,en,150038
VALID · EN_TO_KO,style,구어체,150038
VALID · KO_TO_EN,subdomain,여행,15001
VALID · KO_TO_EN,domain,일상생활,49901
VALID · KO_TO_EN,source,SBS,49901
VALID · KO_TO_EN,target_language,en,150000
VALID · KO_TO_EN,data_set,일상생활및구어체,150000
VALID · KO_TO_EN,license,open,150000
VALID · KO_TO_EN,source_language,ko,150000
VALID · KO_TO_EN,style,구어체,150000
VALID · KO_TO_EN,subdomain,정보통신,10568
VALID · KO_TO_EN,domain,해외영업,70110
VALID · KO_TO_EN,source,크라우드소싱,100099
VALID · KO_TO_EN,subdomain,도소매유통,59049
VALID · KO_TO_EN,subdomain,구매,9870
VALID · KO_TO_EN,subdomain,"숙박,음식점",8048
VALID · KO_TO_EN,subdomain,예약,4938
VALID · KO_TO_EN,subdomain,음식,20092
VALID · KO_TO_EN,domain,해외고객과의채팅,29989
VALID · KO_TO_EN,subdomain,"기계장비,의료정밀",5511
VALID · KO_TO_EN,subdomain,부동산,3520
VALID · KO_TO_EN,subdomain,"연구개발,과학기술",11851
VALID · KO_TO_EN,subdomain,"금융,보험",1552
