group,language,metric,count,min,p50,p90,p95,p99,max,mean
TRAIN · EN_TO_KO,EN,codepoints,1200307,12,53,88,101,130,389,57.05738115332161
TRAIN · EN_TO_KO,EN,utf8_bytes,1200307,12,53,88,101,130,389,57.05878912644848
TRAIN · EN_TO_KO,KO,codepoints,1200307,2,25,42,48,62,196,27.378756434812093
TRAIN · EN_TO_KO,KO,utf8_bytes,1200307,4,63,103,118,151,430,66.91345464118763
TRAIN · KO_TO_EN,EN,codepoints,1200000,1,50,99,117,156,659,54.38474
TRAIN · KO_TO_EN,EN,utf8_bytes,1200000,1,50,99,117,156,659,54.3896175
TRAIN · KO_TO_EN,KO,codepoints,1200000,1,25,47,55,72,297,26.702073333333335
TRAIN · KO_TO_EN,KO,utf8_bytes,1200000,1,62,116,134,175,727,64.77789666666666
VALID · EN_TO_KO,EN,codepoints,150038,13,59,98,111,141,399,63.72294352097469
VALID · EN_TO_KO,EN,utf8_bytes,150038,13,59,98,111,141,399,63.72625601514283
VALID · EN_TO_KO,KO,codepoints,150038,4,29,49,54,69,222,32.06855596582199
VALID · EN_TO_KO,KO,utf8_bytes,150038,10,73,120,134,169,500,78.73532038550233
VALID · KO_TO_EN,EN,codepoints,150000,1,50,99,117,156,543,54.34616666666667
VALID · KO_TO_EN,EN,utf8_bytes,150000,1,50,99,117,156,543,54.35087333333333
VALID · KO_TO_EN,KO,codepoints,150000,2,25,47,55,72,282,26.69452
VALID · KO_TO_EN,KO,utf8_bytes,150000,2,62,115,135,175,646,64.75776
