group,field,records,absent,null,empty,missing_or_empty_rate,type_counts,raw_value_exported
TRAIN · EN_TO_KO,data_set,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,domain,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,en,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,en_original,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,file_name,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,included_unknown_words,1200307,0,0,0,0.0,"{""boolean"": 1200307}",False
TRAIN · EN_TO_KO,ko,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,license,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,mt,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,ner,1200307,0,1153161,0,0.9607217153611535,"{""dict"": 47146, ""null"": 1153161}",False
TRAIN · EN_TO_KO,sn,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,source,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,source_language,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,style,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,subdomain,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,target_language,1200307,0,0,0,0.0,"{""string"": 1200307}",False
TRAIN · EN_TO_KO,word_count_en,1200307,0,0,0,0.0,"{""number"": 1200307}",False
TRAIN · EN_TO_KO,word_count_ko,1200307,0,0,0,0.0,"{""number"": 1200307}",False
TRAIN · EN_TO_KO,word_ratio,1200307,0,0,0,0.0,"{""number"": 1200307}",False
TRAIN · KO_TO_EN,data_set,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,domain,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,en,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,file_name,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,included_unknown_words,1200000,0,0,0,0.0,"{""boolean"": 1200000}",False
TRAIN · KO_TO_EN,ko,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,ko_original,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,license,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,mt,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,ner,1200000,0,1164103,0,0.9700858333333333,"{""dict"": 35897, ""null"": 1164103}",False
TRAIN · KO_TO_EN,sn,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,source,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,source_language,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,style,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,subdomain,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,target_language,1200000,0,0,0,0.0,"{""string"": 1200000}",False
TRAIN · KO_TO_EN,word_count_en,1200000,0,0,0,0.0,"{""integer"": 1200000}",False
TRAIN · KO_TO_EN,word_count_ko,1200000,0,0,0,0.0,"{""integer"": 1200000}",False
TRAIN · KO_TO_EN,word_ratio,1200000,0,0,0,0.0,"{""number"": 1200000}",False
VALID · EN_TO_KO,data_set,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,domain,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,en,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,en_original,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,file_name,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,included_unknown_words,150038,0,0,0,0.0,"{""boolean"": 150038}",False
VALID · EN_TO_KO,ko,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,license,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,mt,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,ner,150038,0,143978,0,0.9596102320745411,"{""dict"": 6060, ""null"": 143978}",False
VALID · EN_TO_KO,sn,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,source,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,source_language,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,style,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,subdomain,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,target_language,150038,0,0,0,0.0,"{""string"": 150038}",False
VALID · EN_TO_KO,word_count_en,150038,0,0,0,0.0,"{""number"": 150038}",False
VALID · EN_TO_KO,word_count_ko,150038,0,0,0,0.0,"{""number"": 150038}",False
VALID · EN_TO_KO,word_ratio,150038,0,0,0,0.0,"{""number"": 150038}",False
VALID · KO_TO_EN,data_set,150000,0,0,0,0.0,"{""string"": 150000}",False
VALID · KO_TO_EN,domain,150000,0,0,0,0.0,"{""string"": 150000}",False
VALID · KO_TO_EN,en,150000,0,0,0,0.0,"{""string"": 150000}",False
VALID · KO_TO_EN,file_name,150000,0,0,0,0.0,"{""string"": 150000}",False
VALID · KO_TO_EN,included_unknown_words,150000,0,0,0,0.0,"{""boolean"": 150000}",False
VALID · KO_TO_EN,ko,150000,0,0,0,0.0,"{""string"": 150000}",False
VALID · KO_TO_EN,ko_original,150000,0,0,0,0.0,"{""string"": 150000}",False
VALID · KO_TO_EN,license,150000,0,0,0,0.0,"{""string"": 150000}",False
VALID · KO_TO_EN,mt,150000,0,0,0,0.0,"{""string"": 150000}",False
VALID · KO_TO_EN,ner,150000,0,145598,0,0.9706533333333334,"{""dict"": 4402, ""null"": 145598}",False
VALID · KO_TO_EN,sn,150000,0,0,0,0.0,"{""string"": 150000}",False
