group,language,metric,row_count,records,rate,classification
TRAIN · KO_TO_EN,EN,expected_script_absent,3,1200144,2.4997000359956807e-06,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,html_like,445,1200144,0.0003707888386726926,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,nfkc_change,1237,1200144,0.0010307096481755522,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,phone_like,1437,1200144,0.001197356317241931,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,repeated_whitespace,25,1200144,2.0830833633297337e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,url_like,14,1200144,1.1665266834646509e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,zero_width,6688,1200144,0.005572664613579704,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,expected_script_absent,29,1200144,2.4163767014624912e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,html_like,67,1200144,5.5826634137236866e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,nfkc_change,17193,1200144,0.014325780906291245,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,phone_like,600,1200144,0.0004999400071991361,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,repeated_whitespace,24,1200144,1.9997600287965445e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,url_like,15,1200144,1.2498500179978403e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,zero_width,4,1200144,3.332933381327574e-06,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,email_like,1,150018,6.665866762655148e-06,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,expected_script_absent,1,150018,6.665866762655148e-06,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,html_like,51,150018,0.00033995920489541257,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,nfkc_change,169,150018,0.00112653148288872,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,phone_like,175,150018,0.001166526683464651,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,repeated_whitespace,1,150018,6.665866762655148e-06,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,zero_width,840,150018,0.005599328080630324,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,email_like,1,150018,6.665866762655148e-06,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,expected_script_absent,5,150018,3.332933381327574e-05,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,html_like,4,150018,2.6663467050620593e-05,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,nfkc_change,2182,150018,0.014544921276113534,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,phone_like,78,150018,0.0005199376074871016,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,repeated_whitespace,2,150018,1.3331733525310296e-05,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,zero_width,1,150018,6.665866762655148e-06,SOFT_OBSERVATION_ONLY
