relative_path,bytes,mtime_ns,sha256,format,split,direction,stability_state
1_구어체(1).xlsx,15816496,1786853967795620099,0fd712b2d62c054bed364fd41af59019a3cc6c05093d0541f538029996b240a8,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
1_구어체(2).xlsx,14317360,1786853967689287058,f673f1c8fb73bad83e9ba097a45e47883f94d009d51ad42e636ce32c67d13219,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
2_대화체.xlsx,9566182,1786853967256621578,b98b105d8f5efd20d6a1a6a69071d8b13ddc337c817c17f78100b1b793d20dd1,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
3_문어체_뉴스(1)/3_문어체_뉴스(1)_200226.xlsx,51434832,1786853969423615634,a4de4cb3a40831cf673be39a35b64945e1ea0838eca143b70b12331f2e0ce365,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
3_문어체_뉴스(2).xlsx,42678691,1786853969012950094,b1ff2e1fb6c9b10a2d90e0b205963e79215858eff45657be70004bfe816118d1,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
3_문어체_뉴스(3).xlsx,54225893,1786853969570281899,1deaa6e2cbe1168083de2401c08e283ccf070118dc3842f4832633d95b91b829,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
3_문어체_뉴스(4).xlsx,46195584,1786853969177949643,56434ff93133e9349d1ed4a93ef557907c166fe5baf2b5545f7085000f578cf2,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
4_문어체_한국문화.xlsx,15981787,1786853967813953383,a0f5f64b99f644ce634661f8b8c478202adea50d6be147cd3ee2e18e3eb44035,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
5_문어체_조례.xlsx,15355237,1786853967766286846,063259a9c136d6206c828c22ab06d66f07afb8d9af7a74a6fa3f2274983145ca,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
6_문어체_지자체웹사이트.xlsx,17457662,1786853967901953143,322da04a7912ca24d7e81b9a0906c739a43660e25320584f0a3793c18d20c995,XLSX,UNSPLIT,FIELD_ORDER_ONLY,STABLE_FILE
