group,language,metric,row_count,records,rate,classification
구어체,EN,email_like,4,400000,1e-05,SOFT_OBSERVATION_ONLY
구어체,EN,html_like,25,400000,6.25e-05,SOFT_OBSERVATION_ONLY
구어체,EN,nfkc_change,77,400000,0.0001925,SOFT_OBSERVATION_ONLY
구어체,EN,phone_like,108,400000,0.00027,SOFT_OBSERVATION_ONLY
구어체,EN,url_like,2,400000,5e-06,SOFT_OBSERVATION_ONLY
구어체,EN,zero_width,27,400000,6.75e-05,SOFT_OBSERVATION_ONLY
구어체,KO,email_like,1,400000,2.5e-06,SOFT_OBSERVATION_ONLY
구어체,KO,expected_script_absent,3,400000,7.5e-06,SOFT_OBSERVATION_ONLY
구어체,KO,html_like,3,400000,7.5e-06,SOFT_OBSERVATION_ONLY
구어체,KO,nfkc_change,162,400000,0.000405,SOFT_OBSERVATION_ONLY
구어체,KO,phone_like,110,400000,0.000275,SOFT_OBSERVATION_ONLY
구어체,KO,url_like,2,400000,5e-06,SOFT_OBSERVATION_ONLY
구어체,KO,zero_width,11,400000,2.75e-05,SOFT_OBSERVATION_ONLY
대화체,EN,nfkc_change,9,100000,9e-05,SOFT_OBSERVATION_ONLY
대화체,EN,phone_like,18,100000,0.00018,SOFT_OBSERVATION_ONLY
대화체,EN,zero_width,2,100000,2e-05,SOFT_OBSERVATION_ONLY
대화체,KO,nfkc_change,18,100000,0.00018,SOFT_OBSERVATION_ONLY
대화체,KO,phone_like,17,100000,0.00017,SOFT_OBSERVATION_ONLY
문어체뉴스,EN,control_character,1,801387,1.2478365633582777e-06,SOFT_OBSERVATION_ONLY
문어체뉴스,EN,email_like,11,801387,1.3726202196941053e-05,SOFT_OBSERVATION_ONLY
문어체뉴스,EN,html_like,410,801387,0.0005116129909768938,SOFT_OBSERVATION_ONLY
문어체뉴스,EN,leading_or_trailing_whitespace,5,801387,6.239182816791388e-06,SOFT_OBSERVATION_ONLY
문어체뉴스,EN,nfkc_change,1614,801387,0.00201400821326026,SOFT_OBSERVATION_ONLY
문어체뉴스,EN,phone_like,1202,801387,0.0014998995491566497,SOFT_OBSERVATION_ONLY
문어체뉴스,EN,url_like,95,801387,0.00011854447351903637,SOFT_OBSERVATION_ONLY
문어체뉴스,EN,zero_width,159,801387,0.00019840601357396613,SOFT_OBSERVATION_ONLY
문어체뉴스,KO,email_like,11,801387,1.3726202196941053e-05,SOFT_OBSERVATION_ONLY
문어체뉴스,KO,expected_script_absent,1,801387,1.2478365633582777e-06,SOFT_OBSERVATION_ONLY
문어체뉴스,KO,html_like,6,801387,7.487019380149666e-06,SOFT_OBSERVATION_ONLY
문어체뉴스,KO,nfkc_change,8028,801387,0.010017631930640253,SOFT_OBSERVATION_ONLY
문어체뉴스,KO,phone_like,441,801387,0.0005502959244410004,SOFT_OBSERVATION_ONLY
문어체뉴스,KO,url_like,94,801387,0.0001172966369556781,SOFT_OBSERVATION_ONLY
문어체뉴스,KO,zero_width,7,801387,8.734855943507944e-06,SOFT_OBSERVATION_ONLY
조례,EN,html_like,1,100298,9.970288540150351e-06,SOFT_OBSERVATION_ONLY
조례,EN,leading_or_trailing_whitespace,19,100298,0.0001894354822628567,SOFT_OBSERVATION_ONLY
조례,EN,nfkc_change,92,100298,0.0009172665456938324,SOFT_OBSERVATION_ONLY
조례,EN,phone_like,180,100298,0.0017946519372270633,SOFT_OBSERVATION_ONLY
조례,EN,url_like,2,100298,1.9940577080300703e-05,SOFT_OBSERVATION_ONLY
조례,KO,html_like,1,100298,9.970288540150351e-06,SOFT_OBSERVATION_ONLY
조례,KO,nfkc_change,1116,100298,0.011126842010807794,SOFT_OBSERVATION_ONLY
조례,KO,phone_like,1,100298,9.970288540150351e-06,SOFT_OBSERVATION_ONLY
조례,KO,url_like,2,100298,1.9940577080300703e-05,SOFT_OBSERVATION_ONLY
지자체웹,EN,email_like,1,100087,9.991307562420695e-06,SOFT_OBSERVATION_ONLY
