check_id,observed,expected,status
total_rows,5652925,5652925,PASS
pair_id_unique,5652925,5652925,PASS
pair_id_null,0,0,PASS
raw_pair_structural_missing,0,0,PASS
phase1_status_violations,0,0,PASS
normalization_value_violations,0,0,PASS
representative_rule_violations,0,0,PASS
direction_resolution_violations,0,0,PASS
raw_hash_linkage_violations,0,0,PASS
canonical_physical_file_count,16,16,PASS
025_rows,2700345,2700345,PASS
026_rows,1350162,1350162,PASS
LEGACY_rows,1602418,1602418,PASS
025_duplicate_after_first,214252,214252,PASS
025_duplicate_groups,93823,93823,PASS
026_duplicate_after_first,44,44,PASS
026_duplicate_groups,44,44,PASS
025_cross_direction_distinct,50511,50511,PASS
025_vs_026,0,0,PASS
025_vs_legacy,35,35,PASS
026_vs_legacy,1,1,PASS
Legacy_News2_vs_Culture,2469,2469,PASS
025_sn_collision_groups,0,0,PASS
026_sn_collision_groups,0,0,PASS
accidental_alias_double_ingest,0,0,PASS
